Country,Capital,Latitud,Logitud
United Arab Emirates,Abu Dhabi,24.28,54.22
United Kingdom of Great Britain and Northern Ireland,London,51.36,0.05
United Republic of Tanzania,Dodoma,6.08,35.45
United States of America,Washington DC,39.91,77.02
United States of Virgin Islands,Charlotte Amalie,18.21,64.56
Uruguay,Montevideo,34.5,56.11
Uzbekistan,Tashkent,41.2,69.1
Vanuatu,Port-Vila,17.45,168.18
Venezuela,Caracas,10.3,66.55
Viet Nam,Hanoi,21.05,105.55
Yugoslavia,Belgrade,44.5,20.37
Zambia,Lusaka,15.28,28.16
Zimbabwe,Harare,17.43,31.02
